filePath,country,breedName,health,finalSkill,veterancy,healthRegen,staminaRegen,speed,inventory,tankSkill,vehicleSkill,cannonSkill,tankGunSkill,pistolSkill,smgSkill,mgunSkill,rifleSkill,rocketLskill,melee,commandPower,score,captureWeight,newMp,newCp
./resource/gamelogic/set/breed/mp\eng\elite3_asst.set,eng,elite3_asst,0.35,vet_5,elite,0.1,0.1,0.0009,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.00125,0.00125,0.00125,58.75500000000002,0.5875499999999999
./resource/gamelogic/set/breed/mp\eng\elite4.set,eng,elite4,0.25,vet_2,1,0.1,0.1,0.0009,"['""owen_gun"" filled', '""ammo owen_mag"" 132', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.003,0.004,0.003,0.003,3,0.004,0.0005,0.0005,0.0005,47.22999999999999,0.4723
./resource/gamelogic/set/breed/mp\eng\elite5.set,eng,elite5,0.25,vet_2,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""mine antitank"" 1', '""sandbag_kit"" 1']",0.0009,0.001,0.001,0.0,0.003,0.003,0.003,0.004,3,0.004,0.0005,0.0005,0.0005,47.22999999999999,0.4723
./resource/gamelogic/set/breed/mp\eng\elite6.set,eng,elite6,0.25,vet_2,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""sandbag_kit"" 1']",0.0009,0.001,0.001,0.0,0.003,0.003,0.004,0.003,3,0.004,0.0005,0.0005,0.0005,47.22999999999999,0.4723
./resource/gamelogic/set/breed/mp\eng\elite_2ic.set,eng,elite_2ic,0.35,vet_7,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""n77_smoke grenade"" 1']",0.0009,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,59.405000000000015,0.5940500000000001
./resource/gamelogic/set/breed/mp\eng\elite_40.set,eng,elite_40,0.35,vet_4,elite,0.1,0.1,0.0009,"['""sten_v_silencer"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
./resource/gamelogic/set/breed/mp\eng\elite_at.set,eng,elite_at,0.35,vet_4,elite,0.1,0.1,0.0009,"['""weapon piatrocket"" filled', '""sten"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
./resource/gamelogic/set/breed/mp\eng\elite_cpl.set,eng,elite_cpl,0.35,vet_7,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""n77_smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,59.405000000000015,0.5940500000000001
./resource/gamelogic/set/breed/mp\eng\elite_tankman.set,eng,elite_tankman,0.1,tankman,,0.1,0.1,0.0008,"['""webley"" filled', '""ammo webley_clip"" 36', '""bandage"" 3']",0.00115,0.00115,0.001,0.008,0.004,0.004,0.005,0.002,1,0.003,0.00025,0.0012,0.00025,33.17999999999999,0.3318
./resource/gamelogic/set/breed/mp\eng\elite_tankman2.set,eng,elite_tankman2,0.15,tankman2,,0.1,0.1,0.0008,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3']",0.0012,0.0012,0.001,0.01,0.004,0.004,0.006999999999999999,0.002,1,0.003,0.0005,0.0022,0.0005,38.73999999999999,0.38739999999999997
./resource/gamelogic/set/breed/mp\eng\flamer.set,eng,flamer,0.15,flamer,,0.1,0.1,0.0009,"['""flame_thrower""', '""balloon"" filled', '""bandage"" 3']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.001,0.001,0.001,36.87000000000001,0.3687
./resource/gamelogic/set/breed/mp\eng\flamer2.set,eng,flamer2,0.15,flamer,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.001,0.001,0.001,36.87000000000001,0.3687
./resource/gamelogic/set/breed/mp\eng\home_guard.set,eng,home_guard,0.1,vet_1,1,0.1,0.1,0.0008,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 1']",0.0006,0.0008,0.0008,0.0,0.001,0.001,0.001,0.001,1,0.002,0.00025,0.00025,0.00025,30.974999999999994,0.30975
./resource/gamelogic/set/breed/mp\eng\home_guard2.set,eng,home_guard2,0.1,vet_1,1,0.1,0.1,0.0008,"['""sten"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2']",0.0006,0.0008,0.0008,0.0,0.001,0.001,0.001,0.001,1,0.002,0.00025,0.00025,0.00025,30.974999999999994,0.30975
./resource/gamelogic/set/breed/mp\eng\light_mortar.set,eng,light_mortar,0.15,vet_3,1,0.1,0.1,0.0009,"['""mortar_mkvii"" filled', '""ammo mortar50 eng fg"" 6', '""ammo mortar50 eng sm"" 8', '""ammo mortar50 eng wp"" 2', '""bandage"" 3']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.005,1,0.004,0.00075,0.00075,0.00075,37.09500000000002,0.37094999999999995
./resource/gamelogic/set/breed/mp\eng\light_mortar2.set,eng,light_mortar2,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo mortar50 eng fg"" 3', '""ammo mortar50 eng sm"" 5', '""ammo mortar50 eng wp"" 2', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.005,1,0.004,0.001,0.001,0.001,37.170000000000016,0.37170000000000003
./resource/gamelogic/set/breed/mp\eng\medic.set,eng,medic,0.15,,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 25', '""morphine"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.003,1,0.003,0.0,0.0,0.0,36.57000000000001,0.3657
./resource/gamelogic/set/breed/mp\eng\mgun.set,eng,mgun,0.15,vet_3,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 3', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.004,0.002,1,0.004,0.00075,0.00075,0.00075,36.99500000000002,0.36994999999999995
./resource/gamelogic/set/breed/mp\eng\mgun2.set,eng,mgun2,0.15,vet_3,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 3', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.003,0.002,1,0.003,0.00075,0.00075,0.00075,36.795000000000016,0.36794999999999994
./resource/gamelogic/set/breed/mp\eng\mgun2_asst.set,eng,mgun2_asst,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.003,0.003,1,0.003,0.00075,0.00075,0.00075,36.89500000000001,0.36894999999999994
./resource/gamelogic/set/breed/mp\eng\mgun_40.set,eng,mgun_40,0.15,vet_3,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 3', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.003,0.002,1,0.003,0.00075,0.00075,0.00075,36.795000000000016,0.36794999999999994
./resource/gamelogic/set/breed/mp\eng\mgun_asst.set,eng,mgun_asst,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.004,0.004,1,0.004,0.00075,0.00075,0.00075,37.195000000000014,0.37194999999999995
./resource/gamelogic/set/breed/mp\eng\mgun_scot.set,eng,mgun_scot,0.15,vet_5,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 3', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.003,0.003,0.005,0.003,2,0.005,0.00125,0.00125,0.00125,37.644999999999996,0.37644999999999995
./resource/gamelogic/set/breed/mp\eng\mgun_scot_asst.set,eng,mgun_scot_asst,0.15,vet_5,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.003,0.003,0.005,0.005,2,0.005,0.00125,0.00125,0.00125,37.845,0.37844999999999995
./resource/gamelogic/set/breed/mp\eng\oficer.set,eng,oficer,0.25,oficer,,0.1,0.1,0.001,"['""webley"" filled', '""ammo webley_clip"" 36', '""smoke_paradrop_ammo_heavy grenade"" 2', '""knife_union""', '""binocular""', '""bandage"" 5']",0.001,0.001,0.001,0.0,0.005,0.005,0.004,0.004,3,0.004,-0.01,0.02,0.01,49.6,0.496
./resource/gamelogic/set/breed/mp\eng\para.set,eng,para,0.4,vet_6,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at""', '""n77_smoke grenade"" 0.25 1']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\para2.set,eng,para2,0.4,vet_6,elite,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0.25 1', '""dynamite"" 1']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\para2_asst.set,eng,para2_asst,0.4,vet_6,elite,0.1,0.1,0.0009,"['""em3_vet"" filled', '""ammo british303_clip"" 100', '""ammo bren_mag"" 168', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0.25 1', '""smoke grenade"" 2']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\para3.set,eng,para3,0.4,vet_6,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""weapon piatrocket"" filled', '""ammo piatrocket"" 5']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\para4.set,eng,para4,0.4,vet_6,elite,0.1,0.1,0.0009,"['""em3_vet"" filled', '""ammo british303_clip"" 100', '""ammo bren_mag"" 112', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0.25 1', '""smoke grenade"" 1']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\para5.set,eng,para5,0.4,,elite,0.1,0.1,0.0009,"['""em2"" filled', '""ammo british303_clip"" 100', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0.25 1', '""smoke grenade"" 2']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0,0.0,0.0,63.390000000000015,0.6339
./resource/gamelogic/set/breed/mp\eng\para_2ic.set,eng,para_2ic,0.4,vet_7,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at""', '""smoke grenade"" 2', '""n77_smoke grenade"" 1']",0.001,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,64.41500000000002,0.6441500000000001
./resource/gamelogic/set/breed/mp\eng\para_cpl.set,eng,para_cpl,0.4,vet_7,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at""', '""smoke grenade"" 2', '""n77_smoke grenade"" 0.25 1']",0.001,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,64.41500000000002,0.6441500000000001
./resource/gamelogic/set/breed/mp\eng\para_mortar.set,eng,para_mortar,0.4,vet_6,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at""', '""mortar_mkvii"" filling ""ammo mortar50 eng sm"" 1', '""ammo mortar50 eng sm"" 8']",0.001,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.0015,0.0015,0.0015,63.84000000000001,0.6383999999999999
./resource/gamelogic/set/breed/mp\eng\pioneer_at.set,eng,pioneer_at,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""weapon piatrocket"" filled', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,4,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_flamer.set,eng,pioneer_flamer,0.15,vet_4,1,0.1,0.1,0.0009,"['""flame_thrower""', '""balloon"" filled', '""bandage"" 3', '""grenade mk1"" 2']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_mg.set,eng,pioneer_mg,0.15,vet_4,1,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 3', '""grenade mk1"" 2', '""sandbag_kit"" 2']",0.0008,0.001,0.001,0.0,0.002,0.002,0.004,0.003,2,0.004,0.001,0.001,0.001,37.17000000000001,0.37170000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_rifle1.set,eng,pioneer_rifle1,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""mine antipersonnel"" 31', '""trench_spade"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_rifle2.set,eng,pioneer_rifle2,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""mine antitank"" 8']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_rifle3.set,eng,pioneer_rifle3,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""grenade satchel"" 2', '""mine antitank"" 2', '""sandbag_kit"" 2', '""trench_spade"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_rifle4.set,eng,pioneer_rifle4,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""mine antipersonnel"" 7', '""mine_detector"" 1', '""hedgehog_kit"" 1', '""sandbag_kit"" 4']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_rifle5.set,eng,pioneer_rifle5,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""mine antipersonnel"" 7', '""trench_spade"" 3', '""sandbag_kit"" 2']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,2,0.004,0.001,0.001,0.001,37.070000000000014,0.37070000000000003
./resource/gamelogic/set/breed/mp\eng\pioneer_sl.set,eng,pioneer_sl,0.15,vet_4,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 2', '""grenade smoke"" 2', '""n77_smoke grenade"" 1', '""grenade n73at"" 1', '""sandbag_kit"" 2']",0.0008,0.001,0.001,0.0,0.003,0.003,0.003,0.004,3,0.004,0.001,0.001,0.001,37.37,0.37370000000000003
./resource/gamelogic/set/breed/mp\eng\radioman.set,eng,radioman,0.15,radioman,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""flaergun"" filled', '""ammo sten_mag"" 128', '""ammo flaer"" 50', '""bandage"" 3']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.005,0.02,0.001,39.17000000000001,0.39170000000000005
./resource/gamelogic/set/breed/mp\eng\radioman_airstrike.set,eng,radioman_airstrike,0.15,radioman,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""airstrike_rp3_flaregun"" filled', '""ammo sten_mag"" 128', '""ammo airstrike_rp3_flare"" 5', '""bandage"" 3']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.005,0.02,0.001,39.17000000000001,0.39170000000000005
./resource/gamelogic/set/breed/mp\eng\rifle.set,eng,rifle,0.15,vet_3,,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 60', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1""', '""sandbag_kit""', '""grenade n73at""', '""n77_smoke grenade"" 0 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,1,0.004,0.00075,0.00075,0.00075,36.99500000000002,0.36994999999999995
./resource/gamelogic/set/breed/mp\eng\rifle2.set,eng,rifle2,0.15,vet_2,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,1,0.004,0.0005,0.0005,0.0005,36.92,0.36920000000000003
./resource/gamelogic/set/breed/mp\eng\rifle2_40.set,eng,rifle2_40,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.003,1,0.003,0.00075,0.00075,0.00075,36.795000000000016,0.36794999999999994
./resource/gamelogic/set/breed/mp\eng\rifle3.set,eng,rifle3,0.15,vet_2,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.003,1,0.003,0.0005,0.0005,0.0005,36.72,0.3672
./resource/gamelogic/set/breed/mp\eng\rifle_40.set,eng,rifle_40,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.003,1,0.003,0.00075,0.00075,0.00075,36.795000000000016,0.36794999999999994
./resource/gamelogic/set/breed/mp\eng\rifle_at.set,eng,rifle_at,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""grenade n73at"" 1', '""weapon piatrocket"" 0.2 1 filled', '""ammo piatrocket"" 5']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,4,0.004,0.00075,0.00075,0.00075,36.99500000000002,0.36994999999999995
./resource/gamelogic/set/breed/mp\eng\rifle_grenadier.set,eng,rifle_grenadier,0.15,vet_3,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""em3_mark1"" filled', '""ammo rifle_grenade"" 6 1', '""ammo bren_mag"" 56', '""bandage"" 3', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.004,1,0.004,0.00075,0.00075,0.00075,36.99500000000002,0.36994999999999995
./resource/gamelogic/set/breed/mp\eng\rifle_scot.set,eng,rifle_scot,0.15,vet_5,1,0.1,0.1,0.0009,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.0008,0.001,0.001,0.0,0.003,0.003,0.003,0.005,2,0.005,0.00125,0.00125,0.00125,37.644999999999996,0.37644999999999995
./resource/gamelogic/set/breed/mp\eng\saper.set,eng,saper,0.15,saper,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine_detector""', '""dynamite"" 2', '""trench_spade""']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.001,0.001,0.001,36.87000000000001,0.3687
