country,buyName,commandPower,score,captureWeight,cooldown,mp,unlockTime,group,types,c1,c2,c3,c4,c5,c6,c7,c8,c9,newSquadMp,newSquadCp
eng,stormtroopers,13.5,13.5,13.5,6,642.0,0.0,squad_5,squad_with7types,"['sturmovik_cpl', '1']","['sturmovik_2ic', '1']","['sturmovik3', '1']","['sturmovik4', '1']","['sturmovik6', '2']","['sturmovik6b', '2']","['sturmovik4b', '2']",['n/a'],['n/a'],642.95,6.429499999999999
eng,paratroopers_drop,15.5,15.5,15.5,6,639.0,0.0,squad_5,squad_with6types_vehicle,"['para_cpl', '1']","['para_2ic', '1']","['para2', '3']","['para4', '2']","['para', '2']","['para_mortar', '1']",['n/a'],['n/a'],['n/a'],639.5500000000002,6.395499999999999
eng,stormtroopers_drop,13.5,13.5,13.5,6,642.0,0.0,squad_5,squad_with7types_vehicle,"['sturmovik_cpl', '1']","['sturmovik_2ic', '1']","['sturmovik3', '1']","['sturmovik4', '1']","['sturmovik6', '2']","['sturmovik6b', '2']","['sturmovik4b', '2']",['n/a'],['n/a'],642.95,6.429499999999999
eng,ap_miners,4.0,4.0,4.0,1,147.0,1.0,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.08000000000007,1.4708
eng,at_miners,4.0,4.0,4.0,1,147.0,1.0,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.48000000000005,1.4748
eng,sappers,2.0,2.0,2.0,0,73.0,0.0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.74000000000002,0.7374
eng,vehic_supporter,1.0,4.0,0.5,0,75.0,0.0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],75.13000000000001,0.7513
eng,tankmans,1.5,7.0,1.5,1,165.0,2.0,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],165.59999999999997,1.6560000000000001
eng,elite_tankmans,0.5,2.2,0.5,0,37.0,0.0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.94999999999998,0.37949999999999995
eng,riflemans2,0.75,0.75,0.75,0,36.0,0.0,soldier_1,squad_with1types,"['rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],36.99500000000002,0.36994999999999995
eng,smgs2,0.75,0.75,0.75,0,36.0,0.0,soldier_2,squad_with1types,"['smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],36.89500000000002,0.36894999999999994
eng,at_rifles,2.0,3.0,2.0,0,74.0,0.0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.04000000000002,0.7404000000000001
eng,bazookers,2.0,3.0,2.0,0,73.0,0.0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.84000000000002,0.7384000000000001
eng,stormtrooper5,2.5,2.5,2.5,1,128.0,0.0,soldier_5,squad_with2types,"['sturmovik5', '1']","['sturmovik5b', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],128.53000000000003,1.2852999999999999
eng,mgs2,0.75,0.75,0.75,0,36.0,0.0,soldier_6,squad_with1types,"['mgun', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],36.99500000000002,0.36994999999999995
eng,elite3,3.0,3.0,3.0,1,176.0,1.0,squad_4,squad_with2types,"['elite3', '1']","['elite2', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],176.04000000000008,1.7604
eng,stormtrooper6,3.75,3.75,3.75,1,192.0,1.0,squad_4,squad_with2types,"['sturmovik6', '1']","['sturmovik6b', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],192.79500000000004,1.9279499999999998
eng,flamers,2.0,2.0,2.0,0,73.0,0.0,soldier_8,squad_with2types,"['flamer', '1']","['flamer2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.74000000000002,0.7374
eng,snipers,5.0,8.0,2.0,0,58.0,0.0,soldier_9,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],58.8,0.588
eng,officers,-10.0,20.0,10.0,0,49.0,0.0,soldier_10,squad_with1types,"['oficer', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],49.6,0.496
eng,snipers_d,5.0,8.0,2.0,0,58.0,0.0,soldier_12,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],58.8,0.588
ger,home_guards,2.5,2.5,2.5,3,309.0,0.0,squad_1,squad_with4types,"['home_guard', '4']","['home_guard2', '2']","['home_guard3', '2']","['home_guard4', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],309.80999999999995,3.0981000000000005
ger,volksgrens,4.0,4.0,4.0,2,250.0,0.0,squad_2,squad_with7types,"['volksgren_sl_smg', '1']","['volksgren_sl_asst', '1']","['volksgren_mg', '1']","['volksgren_mg_asst', '1']","['volksgren_rifle', '1']","['volksgren_pzfst', '2']","['volksgren_grenadier', '1']",['n/a'],['n/a'],250.36,2.5036
ger,volksgrens_sturm,4.5,4.5,4.5,2,281.0,0.0,squad_2,squad_with6types,"['volksgren_sl_stg', '1']","['volksgren_sl_asst', '1']","['volksgren_stg44', '3']","['volksgren_pzfst2', '2']","['volksgren_smg', '1']","['volksgren_sa', '1']",['n/a'],['n/a'],['n/a'],281.355,2.81355
ger,volksgrens_heavy,4.5,4.5,4.5,2,281.0,0.0,squad_2,squad_with7types,"['volksgren_sl_stg', '1']","['volksgren_sl_asst', '1']","['volksgren_stg44', '1']","['volksgren_pzfst2', '2']","['volksgren_mg', '2']","['volksgren_mg_asst2', '1']","['volksgren_mg_asst3', '1']",['n/a'],['n/a'],281.75500000000005,2.8175500000000007
ger_ss,ssvts_44,4.5,4.5,4.5,2,291.0,0.0,squad_1,squad_with6types,"['ssvt_sl', '1']","['ssvt_sl_asst', '1']","['ssvt_rifle', '5']","['ssvt_mg', '1']","['ssvt_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],291.65500000000003,2.91655
ger_ss,kosaken_44,4.5,4.5,4.5,2,281.0,0.0,squad_1,squad_with6types,"['kosaken_sl', '1']","['kosaken_sl_asst', '1']","['kosaken_smg', '1']","['kosaken_rifle', '4']","['kosaken_mg', '1']","['kosaken_mg_asst', '1']",['n/a'],['n/a'],['n/a'],281.055,2.81055
ger,sturmgrens_44,7.75,7.75,7.75,3,304.0,0.0,squad_22,squad_with4types,"['squadleader2', '1']","['sturmgren_sl_asst', '1']","['sturmgren_sg44', '4']","['sturmgren_sg44_pzfst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],304.21000000000004,3.0421
ger,sturmgrens_44_mech,8.75,11.75,8.25,3,379.0,3.0,squad_22,squad_with5types_vehicle,"['vehicle_supporter', '2']","['squadleader2', '1']","['sturmgren_sl_asst', '1']","['sturmgren_sg44', '4']","['sturmgren_sg44_pzfst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],379.3400000000001,3.7934
ger,grenadiers_44,9.25,9.25,9.25,3,347.0,0.0,squad_33,squad_with8types,"['squadleader', '1']","['grenadier_ober_44', '1']","['grenadier_sa_44', '1']","['grenadier_rifle_44', '1']","['grenadier_rifle_grenadier', '1']","['grenadier_pzfst', '2']","['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a'],347.50500000000005,3.47505
ger_ss,grenadiers_44,9.75,9.75,9.75,3,352.0,0.0,squad_3,squad_with8types,"['grenadier_sl', '1']","['grenadier_sl_asst_44', '1']","['grenadier_stg', '1']","['grenadier_sa_44', '2']","['grenadier_pzfst', '1']","['grenadier_mg', '1']","['grenadier_mg_asst', '1']","['grenadier_rifle_grenadier3', '1']",['n/a'],352.2300000000001,3.5223
ger_ss,sturmgrens,11.0,11.0,11.0,3,378.0,0.0,squad_sturm,squad_with7types,"['sturmgren_sl', '1']","['sturmgren_sl_asst', '1']","['sturmgren_stg', '2']","['sturmgren_stg_pzf', '1']","['sturmgren_smg', '2']","['sturmgren_sa', '1']","['sturmgren_sa_scope', '1']",['n/a'],['n/a'],378.40500000000003,3.78405
ger_ss,sturmgrens_heavy,11.0,11.0,11.0,3,378.0,0.0,squad_sturm,squad_with7types,"['sturmgren_sl', '1']","['sturmgren_sl_asst', '1']","['sturmgren_stg', '1']","['sturmgren_stg_pzf', '1']","['sturmgren_mg', '2']","['sturmgren_mg_asst', '2']","['sturmgren_sa_scope', '1']",['n/a'],['n/a'],378.805,3.7880499999999997
ger_ss,gebirgs_44,11.25,11.25,11.25,3,384.0,0.0,squad_3,squad_with6types,"['gebirgs_sl', '1']","['gebirgs_sl_asst_k98', '1']","['gebirgs_pzfst', '2']","['gebirgs_rifle', '3']","['gebirgs_mg', '1']","['gebirgs_mg_asst', '1']",['n/a'],['n/a'],['n/a'],384.18,3.8418
ger_ss,gebirgs_cqc_44,11.25,11.25,11.25,3,384.0,0.0,squad_3,squad_with6types,"['gebirgs_sl', '1']","['gebirgs_sl_asst', '1']","['gebirgs_pzfst_ber', '2']","['gebirgs_smg', '3']","['gebirgs_mg', '1']","['gebirgs_mg_asst', '1']",['n/a'],['n/a'],['n/a'],384.18,3.8418
ger,fusiliers_44,11.25,11.25,11.25,3,385.0,0.0,squad_33,squad_with8types,"['fusilier_sl', '1']","['fusilier_sl_asst', '1']","['fusilier_stg', '2']","['fusilier_sa', '1']","['fusilier_pzfst_sa', '1']","['fusilier_pzfst', '1']","['fusilier_mg', '1']","['fusilier_mg_asst', '1']",['n/a'],385.1000000000001,3.851
ger,jagers_44,12.5,12.5,12.5,4,427.0,0.0,squad_33,squad_with8types,"['jager_sl_stg', '1']","['jager_sl_stg_asst', '1']","['jager_stg', '1']","['jager_smg', '3']","['jager_sa', '1']","['jager_pzfst', '1']","['jager_mg', '1']","['jager_mg_asst', '1']",['n/a'],427.8400000000001,4.2783999999999995
ger_ss,sturmpios,10.25,10.25,10.25,3,379.0,0.0,squad_3,squad_with9types,"['sturmpio_sl', '1']","['sturmpio1', '1']","['sturmpio2', '1']","['sturmpio3', '1']","['sturmpio4', '2']","['pzgren_pio_flamer', '1']","['sturmpio_mg', '1']","['sturmpio_mg_asst', '1']","['sturmpio_at', '1']",379.2850000000001,3.79285
ger,pzgren_pios,10.25,10.25,10.25,3,379.0,0.0,squad_34,squad_with8types,"['pzgren_pio_sl', '1']","['pzgren_pio1', '1']","['pzgren_pio2', '1']","['pzgren_pio3', '1']","['pzgren_pio_flamer', '1']","['pzgren_pio_mg', '2']","['pzgren_pio_mg_asst', '2']","['pzgren_pio_at', '1']",['n/a'],379.58500000000004,3.79585
ger,stormtroopers_44,11.25,11.25,11.25,4,493.0,0.0,squad_34,squad_with7types,"['sturmovik_sl', '1']","['sturmovik_sl_asst', '1']","['sturmovik_pzfst_stg', '1']","['sturmovik2', '1']","['sturmovik_pzfst_sa', '1']","['sturmovik6', '2']","['sturmovik6b', '2']",['n/a'],['n/a'],493.48500000000007,4.934849999999999
ger,pzgren_mech,11.75,13.25,11.5,5,531.0,5.0,squad_34,squad_with8types_vehicle,"['vehicle_supporter', '1']","['sturmovik_sl_asst', '1']","['sturmovik_sl', '1']","['sturmovik_pzfst_stg', '1']","['sturmovik2', '1']","['sturmovik_pzfst_sa', '1']","['sturmovik6', '2']","['sturmovik6b', '2']",['n/a'],531.0500000000002,5.310499999999999
ger,grenadiers_elite,15.75,15.75,15.75,3,386.0,0.0,squad_5,squad_with7types,"['gd_pzgren_sl_stg', '1']","['gd_pzgren_sl_asst_stg', '1']","['gd_pzgren_pzfst_stg', '1']","['gd_pzgren_sa_scope', '1']","['gd_pzgren_pzfst_sa', '1']","['gd_pzgren_mg', '2']","['gd_pzgren_mg_asst', '2']",['n/a'],['n/a'],386.80999999999995,3.8681
ger_ss,pzgrens_44,11.25,11.25,11.25,3,384.0,0.0,squad_55,squad_with7types,"['pzgren_sl_stg', '1']","['pzgren_sl_asst_pzfst', '1']","['pzgren_stg', '1']","['pzgren_pzfst_sa', '1']","['pzgren_pzfst', '1']","['pzgren_mg', '2']","['pzgren_mg_asst', '2']",['n/a'],['n/a'],384.47999999999996,3.8447999999999993
ger_ss,pzgren_mech,12.75,17.25,12.0,4,497.0,4.0,squad_55,squad_with8types_vehicle,"['vehicle_supporter', '3']","['pzgren_sl_stg', '1']","['pzgren_sl_asst_pzfst', '1']","['pzgren_stg', '1']","['pzgren_pzfst_sa', '1']","['pzgren_pzfst', '1']","['pzgren_mg', '2']","['pzgren_mg_asst', '2']",['n/a'],497.17500000000007,4.97175
ger_ss,tk_pzgrens_44,16.5,16.5,16.5,4,470.0,0.0,squad_5,squad_with9types,"['tk_pzgren_sl', '1']","['tk_pzgren_sl_asst', '1']","['tk_pzgren_pzfst_stg', '1']","['tk_pzgren_sa', '1']","['tk_pzgren_pzfst60_sa', '1']","['tk_pzgren_pzfst', '1']","['tk_pzgren_rifle', '1']","['tk_pzgren_mg', '2']","['tk_pzgren_mg_asst', '2']",470.6649999999999,4.706650000000001
ger_ss,lssah_pzgrens_44,19.25,19.25,19.25,4,471.0,0.0,squad_5,squad_with9types,"['lssah_pzgren_sl_stg', '1']","['lssah_pzgren_sl_asst_sa', '1']","['lssah_pzgren_pzfst_stg', '1']","['lssah_pzgren_pzfst', '1']","['lssah_pzgren_pzfst60_sa', '1']","['lssah_pzgren_mg', '2']","['lssah_pzgren_mg_asst', '2']","['lssah_pzgren_at', '1']","['lssah_pzgren_at2', '1']",471.83,4.718299999999999
ger_ss,lssah_mech,18.0,19.5,17.75,4,466.0,0.0,squad_5,squad_with10types_vehicle,"['vehicle_supporter', '1']","['lssah_pzgren_sl_stg', '1']","['lssah_pzgren_sl_asst_sa', '1']","['lssah_pzgren_pzfst_stg', '1']","['lssah_pzgren_pzfst', '1']","['lssah_pzgren_pzfst60_sa', '1']","['lssah_pzgren_mg', '2']","['lssah_pzgren_mg_asst', '2']","['lssah_pzgren_at', '1']",466.5849999999999,4.66585
ger,gebirgsjager_44,17.5,17.5,17.5,6,669.0,0.0,squad_5,squad_with7types,"['gebirgsjager_sl_stg', '1']","['gebirgsjager_sl_asst_stg', '1']","['gebirgsjager_stg', '2']","['gebirgsjager_smg', '3']","['gebirgsjager_pzfst_sa', '1']","['gebirgsjager_mg', '1']","['gebirgsjager_mg_asst', '1']",['n/a'],['n/a'],669.1999999999999,6.692000000000001
ger,elites_44,13.5,13.5,13.5,6,642.0,0.0,squad_5,squad_with7types,"['fallschirm_sl', '1']","['fallschirm_sl_asst_fg_44', '1']","['fallschirm_sniper', '1']","['fallschirm_grenadier', '2']","['fallschirm_pzfst_stg', '1']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],642.9000000000003,6.428999999999999
ger_ss,elites_44,12.0,12.0,12.0,7,717.0,7.0,squad_6,squad_with7types,"['fallschirm_sl', '1']","['fallschirm_sl_asst_smg', '1']","['fallschirm_smg', '2']","['fallschirm_rifle', '4']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],['n/a'],717.1400000000003,7.1714
ger_ss,elites_44_drop,12.0,12.0,12.0,7,717.0,7.0,squad_6,squad_with7types_vehicle,"['fallschirm_sl', '1']","['fallschirm_sl_asst_smg', '1']","['fallschirm_smg', '2']","['fallschirm_rifle', '4']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],['n/a'],717.1400000000003,7.1714
ger,elites_44_drop,13.5,13.5,13.5,6,642.0,0.0,squad_5,squad_with7types_vehicle,"['fallschirm_sl', '1']","['fallschirm_sl_asst_fg_44', '1']","['fallschirm_sniper', '1']","['fallschirm_grenadier', '2']","['fallschirm_pzfst_stg', '1']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],642.9000000000003,6.428999999999999
ger_ss,ap_miners,4.0,4.0,4.0,1,147.0,1.0,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.08000000000007,1.4708
ger,ap_miners,4.0,4.0,4.0,1,147.0,1.0,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.08000000000007,1.4708
ger_ss,at_miners,4.0,4.0,4.0,1,147.0,1.0,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.48000000000005,1.4748
ger,at_miners,4.0,4.0,4.0,1,147.0,1.0,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],147.48000000000005,1.4748
ger_ss,sappers,2.0,2.0,2.0,0,73.0,0.0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.74000000000002,0.7374
ger,sappers,2.0,2.0,2.0,0,73.0,0.0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.74000000000002,0.7374
ger_ss,vehic_supporter,1.0,4.0,0.5,0,75.0,0.0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],75.13000000000001,0.7513
ger,vehic_supporter,1.0,4.0,0.5,0,75.0,0.0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],75.13000000000001,0.7513
ger_ss,tankmans,1.5,7.0,1.5,1,165.0,2.0,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],165.59999999999997,1.6560000000000001
ger,tankmans,1.5,7.0,1.5,1,165.0,2.0,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],165.59999999999997,1.6560000000000001
ger_ss,elite_tankmans,0.5,2.2,0.5,0,37.0,0.0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.94999999999998,0.37949999999999995
ger,elite_tankmans,0.5,2.2,0.5,0,37.0,0.0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.94999999999998,0.37949999999999995
ger_ss,riflemans2,1.0,1.0,1.0,0,37.0,0.0,soldier_1,squad_with1types,"['grenadier_rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger,riflemans2,1.0,1.0,1.0,0,37.0,0.0,soldier_1,squad_with1types,"['grenadier_rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger_ss,grenadier_sa,1.0,1.0,1.0,0,37.0,0.0,soldier_sa,squad_with1types,"['grenadier_sa', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger,grenadier_sa,1.0,1.0,1.0,0,37.0,0.0,soldier_sa,squad_with1types,"['grenadier_sa', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger_ss,smgs2_40,1.0,1.0,1.0,0,37.0,0.0,soldier_2,squad_with1types,"['grenadier_smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger,smgs2_40,1.0,1.0,1.0,0,37.0,0.0,soldier_2,squad_with1types,"['grenadier_smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger,grenadier_stg,1.0,1.0,1.0,0,37.0,0.0,soldier_stg,squad_with1types,"['grenadier_stg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger_ss,grenadier_stg,1.0,1.0,1.0,0,37.0,0.0,soldier_stg,squad_with1types,"['grenadier_stg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],37.345000000000006,0.37345
ger,at_rifles,2.0,3.0,2.0,0,74.0,0.0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.04000000000002,0.7404000000000001
ger_ss,at_rifles,2.0,3.0,2.0,0,74.0,0.0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.04000000000002,0.7404000000000001
ger_ss,bazookers,2.0,3.0,2.0,0,73.0,0.0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.84000000000002,0.7384000000000001
ger_ss,bazooker3,2.0,3.0,2.0,0,74.0,0.0,soldier_5,squad_with1types,"['bazooker3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.79,0.7479
ger,bazookers,2.0,3.0,2.0,0,73.0,0.0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],73.84000000000002,0.7384000000000001
ger,bazooker3,2.0,3.0,2.0,0,74.0,0.0,soldier_5,squad_with1types,"['bazooker3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.79,0.7479
ger,stormtrooper5,2.5,2.5,2.5,1,128.0,0.0,soldier_5,squad_with2types,"['sturmovik5', '1']","['sturmovik5b', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],128.53000000000003,1.2852999999999999
ger,mg2,2.0,2.0,2.0,0,74.0,0.0,soldier_6,squad_with2types,"['grenadier_mg_39', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.99000000000001,0.7499
ger_ss,mg2,2.0,2.0,2.0,0,74.0,0.0,soldier_6,squad_with2types,"['grenadier_mg_39', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.99000000000001,0.7499
ger,mgs2,2.0,2.0,2.0,0,74.0,0.0,soldier_6,squad_with2types,"['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.99000000000001,0.7499
ger_ss,mgs2,2.0,2.0,2.0,0,74.0,0.0,soldier_6,squad_with2types,"['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],74.99000000000001,0.7499
ger,elite3,3.0,3.0,3.0,1,193.0,0.0,squad_4,squad_with2types,"['fallschirm_fg_43', '1']","['fallschirm_rifle', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],193.35500000000008,1.93355
ger,stormtrooper6_39,3.75,3.75,3.75,1,171.0,1.0,squad_4,squad_with2types,"['sturmovik6_39', '1']","['sturmovik6b', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],171.57000000000005,1.7157
