country,buyName,commandPower,score,captureWeight,cooldown,mp,unlockTime,group,types,c1,c2,c3,c4,c5,c6,c7,c8,c9
eng,bazookers,2.0,3.0,2.0,0,73,0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,stormtrooper5,2.5,2.5,2.5,1,128,0,soldier_5,squad_with2types,"['sturmovik5', '1']","['sturmovik5b', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,mgs2,0.75,0.75,0.75,0,36,0,soldier_6,squad_with1types,"['mgun', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,elite3,3.0,3.0,3.0,1,176,1,squad_4,squad_with2types,"['elite3', '1']","['elite2', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,stormtrooper6,3.75,3.75,3.75,1,192,1,squad_4,squad_with2types,"['sturmovik6', '1']","['sturmovik6b', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,flamers,2.0,2.0,2.0,0,73,0,soldier_8,squad_with2types,"['flamer', '1']","['flamer2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,snipers,5.0,8.0,2.0,0,58,0,soldier_9,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,officers,-10.0,20.0,10.0,0,49,0,soldier_10,squad_with1types,"['oficer', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,snipers_d,5.0,8.0,2.0,0,58,0,soldier_12,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,home_guards,2.5,2.5,2.5,3,309,0,squad_1,squad_with4types,"['home_guard', '4']","['home_guard2', '2']","['home_guard3', '2']","['home_guard4', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,volksgrens,4.0,4.0,4.0,2,250,0,squad_2,squad_with7types,"['volksgren_sl_smg', '1']","['volksgren_sl_asst', '1']","['volksgren_mg', '1']","['volksgren_mg_asst', '1']","['volksgren_rifle', '1']","['volksgren_pzfst', '2']","['volksgren_grenadier', '1']",['n/a'],['n/a']
ger,volksgrens_sturm,4.5,4.5,4.5,2,281,0,squad_2,squad_with6types,"['volksgren_sl_stg', '1']","['volksgren_sl_asst', '1']","['volksgren_stg44', '3']","['volksgren_pzfst2', '2']","['volksgren_smg', '1']","['volksgren_sa', '1']",['n/a'],['n/a'],['n/a']
ger,volksgrens_heavy,4.5,4.5,4.5,2,281,0,squad_2,squad_with7types,"['volksgren_sl_stg', '1']","['volksgren_sl_asst', '1']","['volksgren_stg44', '1']","['volksgren_pzfst2', '2']","['volksgren_mg', '2']","['volksgren_mg_asst2', '1']","['volksgren_mg_asst3', '1']",['n/a'],['n/a']
ger_ss,ssvts_44,4.5,4.5,4.5,2,291,0,squad_1,squad_with6types,"['ssvt_sl', '1']","['ssvt_sl_asst', '1']","['ssvt_rifle', '5']","['ssvt_mg', '1']","['ssvt_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,kosaken_44,4.5,4.5,4.5,2,281,0,squad_1,squad_with6types,"['kosaken_sl', '1']","['kosaken_sl_asst', '1']","['kosaken_smg', '1']","['kosaken_rifle', '4']","['kosaken_mg', '1']","['kosaken_mg_asst', '1']",['n/a'],['n/a'],['n/a']
ger,sturmgrens_44,7.75,7.75,7.75,3,304,0,squad_22,squad_with4types,"['squadleader2', '1']","['sturmgren_sl_asst', '1']","['sturmgren_sg44', '4']","['sturmgren_sg44_pzfst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,sturmgrens_44_mech,8.75,11.75,8.25,3,379,3,squad_22,squad_with5types_vehicle,"['vehicle_supporter', '2']","['squadleader2', '1']","['sturmgren_sl_asst', '1']","['sturmgren_sg44', '4']","['sturmgren_sg44_pzfst', '2']",['n/a'],['n/a'],['n/a'],['n/a']
ger,grenadiers_44,9.25,9.25,9.25,3,347,0,squad_33,squad_with8types,"['squadleader', '1']","['grenadier_ober_44', '1']","['grenadier_sa_44', '1']","['grenadier_rifle_44', '1']","['grenadier_rifle_grenadier', '1']","['grenadier_pzfst', '2']","['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a']
ger_ss,grenadiers_44,9.75,9.75,9.75,3,352,0,squad_3,squad_with8types,"['grenadier_sl', '1']","['grenadier_sl_asst_44', '1']","['grenadier_stg', '1']","['grenadier_sa_44', '2']","['grenadier_pzfst', '1']","['grenadier_mg', '1']","['grenadier_mg_asst', '1']","['grenadier_rifle_grenadier3', '1']",['n/a']
ger_ss,sturmgrens,11.0,11.0,11.0,3,378,0,squad_sturm,squad_with7types,"['sturmgren_sl', '1']","['sturmgren_sl_asst', '1']","['sturmgren_stg', '2']","['sturmgren_stg_pzf', '1']","['sturmgren_smg', '2']","['sturmgren_sa', '1']","['sturmgren_sa_scope', '1']",['n/a'],['n/a']
ger_ss,sturmgrens_heavy,11.0,11.0,11.0,3,378,0,squad_sturm,squad_with7types,"['sturmgren_sl', '1']","['sturmgren_sl_asst', '1']","['sturmgren_stg', '1']","['sturmgren_stg_pzf', '1']","['sturmgren_mg', '2']","['sturmgren_mg_asst', '2']","['sturmgren_sa_scope', '1']",['n/a'],['n/a']
ger_ss,gebirgs_44,11.25,11.25,11.25,3,384,0,squad_3,squad_with6types,"['gebirgs_sl', '1']","['gebirgs_sl_asst_k98', '1']","['gebirgs_pzfst', '2']","['gebirgs_rifle', '3']","['gebirgs_mg', '1']","['gebirgs_mg_asst', '1']",['n/a'],['n/a'],['n/a']
ger_ss,gebirgs_cqc_44,11.25,11.25,11.25,3,384,0,squad_3,squad_with6types,"['gebirgs_sl', '1']","['gebirgs_sl_asst', '1']","['gebirgs_pzfst_ber', '2']","['gebirgs_smg', '3']","['gebirgs_mg', '1']","['gebirgs_mg_asst', '1']",['n/a'],['n/a'],['n/a']
ger,fusiliers_44,11.25,11.25,11.25,3,385,0,squad_33,squad_with8types,"['fusilier_sl', '1']","['fusilier_sl_asst', '1']","['fusilier_stg', '2']","['fusilier_sa', '1']","['fusilier_pzfst_sa', '1']","['fusilier_pzfst', '1']","['fusilier_mg', '1']","['fusilier_mg_asst', '1']",['n/a']
ger,jagers_44,12.5,12.5,12.5,4,427,0,squad_33,squad_with8types,"['jager_sl_stg', '1']","['jager_sl_stg_asst', '1']","['jager_stg', '1']","['jager_smg', '3']","['jager_sa', '1']","['jager_pzfst', '1']","['jager_mg', '1']","['jager_mg_asst', '1']",['n/a']
ger_ss,sturmpios,10.25,10.25,10.25,3,379,0,squad_3,squad_with9types,"['sturmpio_sl', '1']","['sturmpio1', '1']","['sturmpio2', '1']","['sturmpio3', '1']","['sturmpio4', '2']","['pzgren_pio_flamer', '1']","['sturmpio_mg', '1']","['sturmpio_mg_asst', '1']","['sturmpio_at', '1']"
ger,pzgren_pios,10.25,10.25,10.25,3,379,0,squad_34,squad_with8types,"['pzgren_pio_sl', '1']","['pzgren_pio1', '1']","['pzgren_pio2', '1']","['pzgren_pio3', '1']","['pzgren_pio_flamer', '1']","['pzgren_pio_mg', '2']","['pzgren_pio_mg_asst', '2']","['pzgren_pio_at', '1']",['n/a']
ger,stormtroopers_44,11.25,11.25,11.25,4,493,0,squad_34,squad_with7types,"['sturmovik_sl', '1']","['sturmovik_sl_asst', '1']","['sturmovik_pzfst_stg', '1']","['sturmovik2', '1']","['sturmovik_pzfst_sa', '1']","['sturmovik6', '2']","['sturmovik6b', '2']",['n/a'],['n/a']
ger,pzgren_mech,11.75,13.25,11.5,5,531,5,squad_34,squad_with8types_vehicle,"['vehicle_supporter', '1']","['sturmovik_sl_asst', '1']","['sturmovik_sl', '1']","['sturmovik_pzfst_stg', '1']","['sturmovik2', '1']","['sturmovik_pzfst_sa', '1']","['sturmovik6', '2']","['sturmovik6b', '2']",['n/a']
ger,grenadiers_elite,15.75,15.75,15.75,3,386,0,squad_5,squad_with7types,"['gd_pzgren_sl_stg', '1']","['gd_pzgren_sl_asst_stg', '1']","['gd_pzgren_pzfst_stg', '1']","['gd_pzgren_sa_scope', '1']","['gd_pzgren_pzfst_sa', '1']","['gd_pzgren_mg', '2']","['gd_pzgren_mg_asst', '2']",['n/a'],['n/a']
ger_ss,pzgrens_44,11.25,11.25,11.25,3,384,0,squad_55,squad_with7types,"['pzgren_sl_stg', '1']","['pzgren_sl_asst_pzfst', '1']","['pzgren_stg', '1']","['pzgren_pzfst_sa', '1']","['pzgren_pzfst', '1']","['pzgren_mg', '2']","['pzgren_mg_asst', '2']",['n/a'],['n/a']
ger_ss,pzgren_mech,12.75,17.25,12.0,4,497,4,squad_55,squad_with8types_vehicle,"['vehicle_supporter', '3']","['pzgren_sl_stg', '1']","['pzgren_sl_asst_pzfst', '1']","['pzgren_stg', '1']","['pzgren_pzfst_sa', '1']","['pzgren_pzfst', '1']","['pzgren_mg', '2']","['pzgren_mg_asst', '2']",['n/a']
ger_ss,tk_pzgrens_44,16.5,16.5,16.5,4,470,0,squad_5,squad_with9types,"['tk_pzgren_sl', '1']","['tk_pzgren_sl_asst', '1']","['tk_pzgren_pzfst_stg', '1']","['tk_pzgren_sa', '1']","['tk_pzgren_pzfst60_sa', '1']","['tk_pzgren_pzfst', '1']","['tk_pzgren_rifle', '1']","['tk_pzgren_mg', '2']","['tk_pzgren_mg_asst', '2']"
ger_ss,lssah_pzgrens_44,19.25,19.25,19.25,4,471,0,squad_5,squad_with9types,"['lssah_pzgren_sl_stg', '1']","['lssah_pzgren_sl_asst_sa', '1']","['lssah_pzgren_pzfst_stg', '1']","['lssah_pzgren_pzfst', '1']","['lssah_pzgren_pzfst60_sa', '1']","['lssah_pzgren_mg', '2']","['lssah_pzgren_mg_asst', '2']","['lssah_pzgren_at', '1']","['lssah_pzgren_at2', '1']"
ger_ss,lssah_mech,18.0,19.5,17.75,4,466,0,squad_5,squad_with10types_vehicle,"['vehicle_supporter', '1']","['lssah_pzgren_sl_stg', '1']","['lssah_pzgren_sl_asst_sa', '1']","['lssah_pzgren_pzfst_stg', '1']","['lssah_pzgren_pzfst', '1']","['lssah_pzgren_pzfst60_sa', '1']","['lssah_pzgren_mg', '2']","['lssah_pzgren_mg_asst', '2']","['lssah_pzgren_at', '1']"
ger,gebirgsjager_44,17.5,17.5,17.5,6,669,0,squad_5,squad_with7types,"['gebirgsjager_sl_stg', '1']","['gebirgsjager_sl_asst_stg', '1']","['gebirgsjager_stg', '2']","['gebirgsjager_smg', '3']","['gebirgsjager_pzfst_sa', '1']","['gebirgsjager_mg', '1']","['gebirgsjager_mg_asst', '1']",['n/a'],['n/a']
ger,elites_44,13.5,13.5,13.5,6,642,0,squad_5,squad_with7types,"['fallschirm_sl', '1']","['fallschirm_sl_asst_fg_44', '1']","['fallschirm_sniper', '1']","['fallschirm_grenadier', '2']","['fallschirm_pzfst_stg', '1']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a']
ger_ss,elites_44,12.0,12.0,12.0,7,717,7,squad_6,squad_with7types,"['fallschirm_sl', '1']","['fallschirm_sl_asst_smg', '1']","['fallschirm_smg', '2']","['fallschirm_rifle', '4']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],['n/a']
ger_ss,elites_44_drop,12.0,12.0,12.0,7,717,7,squad_6,squad_with7types_vehicle,"['fallschirm_sl', '1']","['fallschirm_sl_asst_smg', '1']","['fallschirm_smg', '2']","['fallschirm_rifle', '4']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a'],['n/a']
ger,elites_44_drop,13.5,13.5,13.5,6,642,0,squad_5,squad_with7types_vehicle,"['fallschirm_sl', '1']","['fallschirm_sl_asst_fg_44', '1']","['fallschirm_sniper', '1']","['fallschirm_grenadier', '2']","['fallschirm_pzfst_stg', '1']","['fallschirm_mg', '2']","['fallschirm_mg_asst', '2']",['n/a'],['n/a']
ger_ss,ap_miners,4.0,4.0,4.0,1,147,1,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,ap_miners,4.0,4.0,4.0,1,147,1,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,at_miners,4.0,4.0,4.0,1,147,1,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,at_miners,4.0,4.0,4.0,1,147,1,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,sappers,2.0,2.0,2.0,0,73,0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,sappers,2.0,2.0,2.0,0,73,0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,vehic_supporter,1.0,4.0,0.5,0,75,0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,vehic_supporter,1.0,4.0,0.5,0,75,0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,tankmans,1.5,7.0,1.5,1,165,2,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,tankmans,1.5,7.0,1.5,1,165,2,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,elite_tankmans,0.5,2.2,0.5,0,37,0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,elite_tankmans,0.5,2.2,0.5,0,37,0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,riflemans2,1.0,1.0,1.0,0,37,0,soldier_1,squad_with1types,"['grenadier_rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,riflemans2,1.0,1.0,1.0,0,37,0,soldier_1,squad_with1types,"['grenadier_rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,grenadier_sa,1.0,1.0,1.0,0,37,0,soldier_sa,squad_with1types,"['grenadier_sa', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,grenadier_sa,1.0,1.0,1.0,0,37,0,soldier_sa,squad_with1types,"['grenadier_sa', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,smgs2_40,1.0,1.0,1.0,0,37,0,soldier_2,squad_with1types,"['grenadier_smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,smgs2_40,1.0,1.0,1.0,0,37,0,soldier_2,squad_with1types,"['grenadier_smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,grenadier_stg,1.0,1.0,1.0,0,37,0,soldier_stg,squad_with1types,"['grenadier_stg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,grenadier_stg,1.0,1.0,1.0,0,37,0,soldier_stg,squad_with1types,"['grenadier_stg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,at_rifles,2.0,3.0,2.0,0,74,0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,at_rifles,2.0,3.0,2.0,0,74,0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,bazookers,2.0,3.0,2.0,0,73,0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,bazooker3,2.0,3.0,2.0,0,74,0,soldier_5,squad_with1types,"['bazooker3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,bazookers,2.0,3.0,2.0,0,73,0,soldier_5,squad_with2types,"['bazooker', '1']","['bazooker2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,bazooker3,2.0,3.0,2.0,0,74,0,soldier_5,squad_with1types,"['bazooker3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,stormtrooper5,2.5,2.5,2.5,1,128,0,soldier_5,squad_with2types,"['sturmovik5', '1']","['sturmovik5b', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,mg2,2.0,2.0,2.0,0,74,0,soldier_6,squad_with2types,"['grenadier_mg_39', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,mg2,2.0,2.0,2.0,0,74,0,soldier_6,squad_with2types,"['grenadier_mg_39', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,mgs2,2.0,2.0,2.0,0,74,0,soldier_6,squad_with2types,"['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,mgs2,2.0,2.0,2.0,0,74,0,soldier_6,squad_with2types,"['grenadier_mg', '1']","['grenadier_mg_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,elite3,3.0,3.0,3.0,1,193,0,squad_4,squad_with2types,"['fallschirm_fg_43', '1']","['fallschirm_rifle', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,stormtrooper6_39,3.75,3.75,3.75,1,171,1,squad_4,squad_with2types,"['sturmovik6_39', '1']","['sturmovik6b', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,stormtrooper6,3.75,3.75,3.75,1,192,1,squad_4,squad_with2types,"['sturmovik6', '1']","['sturmovik6b', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,gd_pzgren_mg,5.25,5.25,5.25,1,129,1,squad_4,squad_with2types,"['gd_pzgren_mg', '1']","['gd_pzgren_mg_asst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,fallschirm_mg_39,4.5,4.5,4.5,1,193,1,squad_4,squad_with2types,"['fallschirm_mg_39', '1']","['fallschirm_mg_asst_39', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,fallschirm_mg,4.5,4.5,4.5,1,193,1,squad_4,squad_with2types,"['fallschirm_mg', '1']","['fallschirm_mg_asst_39', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,tk_pzgren_mg_39,4.5,4.5,4.5,1,128,1,squad_4,squad_with2types,"['tk_pzgren_mg_39', '1']","['tk_pzgren_mg_asst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,tk_pzgren_mg,4.5,4.5,4.5,1,128,1,squad_4,squad_with2types,"['tk_pzgren_mg', '1']","['tk_pzgren_mg_asst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,lssah_pzgren_mg_39,5.25,5.25,5.25,1,128,1,squad_4,squad_with2types,"['lssah_pzgren_mg_39', '1']","['lssah_pzgren_mg_asst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,lssah_pzgren_mg,5.25,5.25,5.25,1,128,1,squad_4,squad_with2types,"['lssah_pzgren_mg', '1']","['lssah_pzgren_mg_asst', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,flamers,2.0,2.0,2.0,0,73,0,soldier_8,squad_with2types,"['flamer', '1']","['flamer2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,flamers,2.0,2.0,2.0,0,73,0,soldier_8,squad_with2types,"['flamer', '1']","['flamer2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,snipers,5.0,8.0,2.0,0,58,0,soldier_9,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,sniper3,5.0,8.0,2.0,0,58,0,soldier_9,squad_with1types,"['sniper3', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,snipers,5.0,8.0,2.0,0,58,0,soldier_9,squad_with1types,"['sniper', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger_ss,sniper3,5.0,8.0,2.0,0,58,0,soldier_9,squad_with1types,"['sniper3', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
ger,officers,-10.0,20.0,10.0,0,49,0,soldier_10,squad_with1types,"['oficer', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
